Entry_point,First_Viable_Date
Entry_1,2020-07-20
Entry_2,2020-07-26
Entry_3,2020-07-26
Entry_4,2020-07-26
Entry_5,2020-07-26
Entry_6,2020-07-26
Entry_7,2020-07-26
Entry_8,2020-07-26
Entry_9,2020-07-26
Entry_10,2020-07-26
Entry_11,2020-07-26
Entry_12,2020-07-26
Entry_13,2020-07-26
Entry_14,2020-07-26
Entry_15,2020-07-26
Entry_16,2020-07-26
Entry_17,2020-07-20
Entry_18,2020-07-26
Entry_19,2020-07-26
Entry_20,2020-07-26
Entry_21,2020-07-26
Entry_22,2020-07-26
Entry_23,2020-07-26
Entry_24,2020-07-26
Entry_25,2020-07-26
Entry_26,2020-07-26
Entry_27,2020-07-26
Entry_28,2020-07-26
Entry_29,2020-07-26
Entry_30,2020-07-26
Entry_31,2020-07-26
Entry_32,2020-07-26
Entry_33,2020-07-26
Entry_34,2020-07-26
Entry_35,2020-07-26
Entry_36,2020-07-26
Entry_37,2020-07-26
Entry_38,2020-07-26
Entry_39,2020-07-26
Entry_40,2020-07-26
Entry_41,2020-07-26
